interpro	Class
IPR002705	Cleavage
IPR002711	Binding
IPR002717	Transferase
IPR002729	Binding
IPR033641	Binding
IPR019851	Binding
IPR019855	Binding
IPR019856	Binding
IPR019857	Binding
IPR019858	Binding
IPR023843	Binding
IPR023844	Binding
IPR027617	Binding
IPR002730	Binding
IPR002742	Oxidoreductase
IPR002748	Transferase
IPR002770	Transferase
IPR002772	Hydrolase
IPR002775	Binding
IPR013795	Binding
IPR014560	Binding
IPR014612	Binding
IPR020241	Binding
IPR002780	Binding
IPR002811	Oxidoreductase
IPR002812	Oxidoreductase
IPR002815	Binding
IPR004085	Binding
IPR013048	Binding
IPR002817	Binding
IPR002821	Hydrolase
IPR002756	Hydrolase
IPR002828	Hydrolase
IPR002836	Binding
IPR022889	Binding
IPR033956	Binding
IPR002857	Binding
IPR002861	Unknown
IPR002868	Cleavage
IPR002869	Oxidoreductase
IPR002871	Binding
IPR002873	Binding
IPR002877	Transferase
IPR025807	Transferase
IPR025816	Transferase
IPR026490	Transferase
IPR002880	Oxidoreductase
IPR002884	Cleavage
IPR002888	Oxidoreductase
IPR002888	Binding
IPR002890	Cleavage / Inhibitor
IPR002893	Binding / Protein
IPR002903	Transferase
IPR002904	Binding
IPR002905	Binding
IPR022923	Binding
IPR002909	Binding / Protein
IPR032397	Binding / Protein
IPR033926	Binding / Protein
IPR002910	Binding
IPR002913	Binding / Lipid
IPR002918	Hydrolase
IPR002919	Cleavage / Inhibitor
IPR002925	Hydrolase
IPR002933	Hydrolase
IPR017141	Cleavage
IPR010161	Binding
IPR010175	Binding
IPR010964	Binding
IPR023556	Binding
IPR017439	Hydrolase
IPR033845	Hydrolase
IPR001160	Hydrolase
IPR005941	Hydrolase
IPR010158	Hydrolase
IPR017591	Hydrolase
IPR010159	Hydrolase
IPR010162	Hydrolase
IPR010169	Hydrolase
IPR010174	Hydrolase
IPR010182	Hydrolase
IPR033687	Hydrolase
IPR011291	Hydrolase
IPR012166	Hydrolase
IPR017149	Hydrolase
IPR017150	Hydrolase
IPR017153	Hydrolase
IPR023905	Hydrolase
IPR033846	Hydrolase
IPR002937	Oxidoreductase
IPR002938	Binding
IPR002941	Binding
IPR002942	Binding
IPR002955	Binding
IPR002969	Binding / Lipid
IPR026222	Binding / Lipid
IPR003010	Hydrolase
IPR003018	Binding / Protein
IPR016132	Binding / Protein
IPR003019	Binding
IPR003022	Binding
IPR003025	Binding
IPR003029	Binding
IPR003043	Transferase
IPR003060	Binding / Ligand
IPR003086	Cleavage / Inhibitor
IPR003097	Oxidoreductase
IPR003100	Binding / Protein
IPR021103	Binding / Protein
IPR003102	Binding / Protein
IPR003108	Binding
IPR003112	Unknown
IPR003119	Targeting
IPR003121	Binding / Protein
IPR019835	Binding / Protein
IPR003124	Binding
IPR003126	Binding
IPR003128	Binding
IPR003137	Binding, Structural / Protein lid
IPR003140	Hydrolase
IPR003141	Binding
IPR003150	Binding
IPR003151	Binding / Protein
IPR003152	Binding / Protein
IPR003154	Binding
IPR003156	Binding
IPR003157	Transferase
IPR003163	Binding
IPR003165	Binding
IPR003168	Binding
IPR003169	Binding / Protein
IPR003173	Binding
IPR003174	Binding
IPR003176	Binding
IPR003180	Binding
IPR003202	Binding
IPR003203	Binding
IPR003212	Binding
IPR003222	Binding
IPR003224	Binding
IPR003235	Factor
IPR003251	Oxidoreductase
IPR003251	Binding
IPR003286	Binding
IPR003299	Binding
IPR003300	Hydrolase
IPR003307	Binding / Protein
IPR003308	Binding
IPR003314	Binding
IPR003322	Retroviral
IPR003340	Binding
IPR003346	Binding
IPR003350	Binding
IPR003356	Binding
IPR003367	Binding
IPR003391	Binding
IPR003410	IG
IPR003415	Binding
IPR003421	Oxidoreductase
IPR010131	Binding / Lipid
IPR003424	Factor
IPR003432	Binding
IPR003439	Binding / ATP
IPR015856	Binding / ATP
IPR015860	Binding / ATP
IPR017902	Binding / ATP
IPR034001	Binding / ATP
IPR034003	Binding / ATP
IPR003441	Binding
IPR003451	Binding
IPR003465	Cleavage / Inhibitor
IPR003477	Binding
IPR003480	Transferase
IPR003484	Transferase
IPR003491	Binding
IPR003494	Binding / Protein
IPR003523	Binding
IPR003536	Binding / Protein
IPR003537	Cleavage / Inhibitor
IPR003541	Binding
IPR003543	Binding
IPR003545	Binding
IPR003546	Hydrolase / Phospho
IPR003547	Kinase
IPR003583	Binding
IPR003591	Binding / Protein
IPR003593	Binding / ATP
IPR003594	Binding / ATP
IPR020575	Binding / ATP
IPR032834	Binding / ATP
IPR003597	IG
IPR003598	IG
IPR003599	IG
IPR003601	Binding
IPR003602	Binding
IPR003604	Binding
IPR003605	Activation
IPR003609	Binding
IPR003610	Hydrolase
IPR003610	Binding / Sugar
IPR032798	Hydrolase
IPR032798	Binding / Sugar
IPR003611	Binding
IPR003613	Transferase
IPR003616	Other
IPR003620	Factor
IPR003644	Binding / Calcium
IPR003645	Binding / Protein
IPR015369	Binding / Protein
IPR003650	Binding
IPR003652	Binding
IPR003652	Binding / Protein
IPR003653	Cleavage
IPR003656	Binding
IPR003664	Transferase
IPR012116	Transferase
IPR012281	Transferase
IPR003668	Binding
IPR003699	Transferase
IPR017821	Transferase
IPR003710	Oxidoreductase
IPR003735	Binding
IPR003742	Transferase
IPR016051	Transferase
IPR003751	Binding
IPR003767	Oxidoreductase
IPR023689	Oxidoreductase
IPR017590	Oxidoreductase
IPR003796	Binding
IPR003806	Binding
IPR003812	Transferase / AMP
IPR003819	Oxidoreductase
IPR003821	Binding
IPR003851	Binding
IPR003877	Binding / Protein
IPR003886	Unknown
IPR003890	Binding
IPR003890	Binding / Protein
IPR003892	Binding / Protein
IPR003893	Binding
IPR003902	Binding
IPR003913	Cleavage / Inhibitor
IPR003914	Cleavage / Inhibitor
IPR029880	Cleavage / Inhibitor
IPR029882	Cleavage / Inhibitor
IPR003915	Binding
IPR003952	Oxidoreductase
IPR003961	Binding / Protein
IPR031669	Binding / Protein
IPR003977	Transferase
IPR003987	Unknown
IPR003988	IG-like
IPR003995	Binding
IPR003996	Transferase
IPR004026	Binding
IPR004026	Transferase
IPR004033	Transferase
IPR014122	Transferase
IPR032904	Transferase
IPR004043	Binding / Sugar
IPR004044	Binding
IPR004045	Binding / Protein
IPR004084	Binding
IPR004087	Binding
IPR004088	Binding
IPR004094	Cleavage / Inhibitor
IPR004104	Oxidoreductase
IPR004107	Binding
IPR004114	Binding
IPR004122	Binding
IPR004137	Oxidoreductase
IPR010048	Binding
IPR004460	Oxidoreductase
IPR010047	Oxidoreductase
IPR004148	Binding / Protein
IPR004159	Transferase
IPR004166	Kinase
IPR004167	Transferase
IPR018123	Binding
IPR004172	Binding / Protein
IPR015132	Binding / Protein
IPR015143	Binding / Protein
IPR004177	Binding
IPR004181	Binding
IPR004183	Oxidoreductase
IPR004185	Hydrolase
IPR004186	Binding
IPR004188	Binding
IPR004189	Binding
IPR004193	Hydrolase
IPR004210	Binding
IPR004221	Binding
IPR018131	Binding
IPR004227	Binding
IPR004227	Transferase
IPR004230	Binding
IPR004232	Binding
IPR022513	Binding
IPR004233	Binding
IPR004234	Binding
IPR004250	Factor
IPR004281	Factor
IPR004321	Binding
IPR004333	Binding
IPR004341	Binding
IPR004343	Binding
IPR004361	Binding
IPR004364	Binding
IPR018149	Binding
IPR004365	Binding
IPR004378	Oxidoreductase
IPR004385	Binding
IPR004387	Cleavage
IPR004398	Transferase
IPR004421	Binding
IPR004437	Binding
IPR004438	Cleavage
IPR034009	Cleavage
IPR004443	Unknown
IPR004446	Hydrolase / Phospho
IPR004453	Oxidoreductase
IPR004457	Binding
IPR004470	Binding
IPR004473	Binding
IPR004475	Binding
IPR004476	Binding
IPR011804	Binding
IPR011805	Binding
IPR004483	Binding
IPR033098	Binding
IPR004489	Oxidoreductase
IPR004493	Binding
IPR020791	Binding
IPR004495	Binding
IPR004503	Binding
IPR004506	Transferase
IPR004519	Binding
IPR004529	Binding
IPR022911	Binding
IPR022917	Binding
IPR004530	Binding
IPR004531	Binding
IPR022918	Binding
IPR004535	Binding
IPR004538	Binding
IPR004546	Binding
IPR004553	Oxidoreductase
IPR004590	Binding
IPR004591	Binding
IPR004595	Binding
IPR004605	Binding
IPR004613	Binding
IPR030879	Binding
IPR030854	Binding
IPR004645	Binding
IPR018384	Binding
IPR004652	Oxidoreductase
IPR032887	Oxidoreductase
IPR004659	Binding
IPR028878	Binding
IPR004660	Oxidoreductase
IPR017600	Oxidoreductase
IPR004661	Binding
IPR033748	Binding
IPR004665	Binding
IPR004688	Binding
IPR004722	Binding
IPR024403	Binding
IPR004782	Binding
IPR004807	Binding
IPR004825	Factor
IPR004826	Binding
IPR004839	Binding
IPR010961	Binding
IPR004843	Hydrolase
IPR006186	Hydrolase
IPR004850	Binding / Protein
IPR004852	Oxidoreductase
IPR004859	Binding
IPR004868	Binding
IPR004871	Binding
IPR004875	Binding
IPR004930	Binding
IPR004953	Binding
IPR004960	Transferase
IPR011920	Transferase
IPR011921	Transferase
IPR030857	Transferase
IPR004963	Hydrolase
IPR004973	Binding
IPR004978	Factor
IPR004986	Binding
IPR004999	Binding
IPR005001	Binding
IPR005018	Adhesion
IPR015920	Adhesion
IPR005025	Oxidoreductase
IPR005036	Binding / Protein
IPR005039	Binding
IPR005043	Binding / Protein
IPR005059	Binding
IPR005063	Binding
IPR005066	Oxidoreductase
IPR005072	Cleavage
IPR005072	Binding
IPR005073	Cleavage
IPR033838	Cleavage
IPR033839	Cleavage
IPR005084	Binding / Sugar
IPR006584	Binding / Sugar
IPR005097	Oxidoreductase
IPR005104	Binding
IPR005106	Oxidoreductase
IPR005117	Oxidoreductase
IPR005123	Oxidoreductase
IPR006620	Oxidoreductase
IPR005146	Binding
IPR020825	Binding
IPR005147	Binding
IPR005148	Binding
IPR005160	Binding
IPR005189	Kinase
IPR005192	Hydrolase
IPR005197	Hydrolase
IPR005231	Binding
IPR005252	Binding
IPR005259	Binding
IPR005299	Transferase
IPR005300	Hydrolase
IPR005304	Transferase
IPR023503	Transferase
IPR005310	Binding / Sugar
IPR005319	Binding
IPR005319	Cleavage
IPR005323	Binding / Sugar
IPR005338	Kinase
IPR005376	Binding
IPR005383	Binding
IPR005412	Binding
IPR005454	Binding
IPR029891	Binding
IPR029893	Binding
IPR005471	Binding
IPR005490	Transferase
IPR005533	Adhesion
IPR005539	Binding
IPR005540	Binding
IPR005541	Binding
IPR005559	Binding
IPR005561	Binding
IPR005569	Binding
IPR005571	Binding
IPR005582	Binding
IPR005584	Binding
IPR005617	Binding / Protein
IPR005621	Binding
IPR005627	Binding
IPR005650	Binding
IPR014071	Binding
IPR005662	Binding
IPR005674	Hydrolase
IPR005734	Binding
IPR005741	Binding
IPR005742	Binding
IPR005743	Binding
IPR005790	Binding
IPR005797	Oxidoreductase
IPR005798	Oxidoreductase
IPR005803	Oxidoreductase
IPR005817	Binding / Ligand
IPR009139	Binding / Ligand
IPR009140	Binding / Ligand
IPR009141	Binding / Ligand
IPR009142	Binding / Ligand
IPR009143	Binding / Ligand
IPR013300	Binding / Ligand
IPR013301	Binding / Ligand
IPR013302	Binding / Ligand
IPR013303	Binding / Ligand
IPR013304	Binding / Ligand
IPR026535	Binding / Ligand
IPR026536	Binding / Ligand
IPR026537	Binding / Ligand
IPR026538	Binding / Ligand
IPR005818	Binding
IPR005819	Binding
IPR005839	Transferase
IPR005840	Transferase
IPR006463	Transferase
IPR006467	Transferase
IPR006466	Transferase
IPR005880	Binding
IPR005880	Transferase
IPR005884	Oxidoreductase
IPR005897	Cleavage
IPR005911	Binding
IPR005936	Cleavage
IPR005937	Hydrolase
IPR023501	Hydrolase
IPR005938	Hydrolase
IPR005939	Hydrolase
IPR005974	Binding
IPR010142	Binding
IPR011290	Binding
IPR005992	Oxidoreductase
IPR006001	Kinase
IPR006017	Binding
IPR006020	Binding / Protein
IPR006019	Binding / Protein
IPR033930	Binding / Protein
IPR006026	Cleavage
IPR006026	Binding
IPR034036	Binding
IPR034038	Binding
IPR034039	Binding
IPR006027	Binding
IPR006035	Binding
IPR014033	Binding
IPR005923	Binding
IPR005925	Binding
IPR023694	Binding
IPR013776	Hydrolase
IPR013775	Binding
IPR013776	Binding
IPR006054	Binding
IPR006066	Oxidoreductase
IPR006066	Binding
IPR006067	Oxidoreductase
IPR006067	Binding
IPR006076	Oxidoreductase
IPR017610	Transferase
IPR006077	Binding
IPR006083	Kinase
IPR006093	Oxidoreductase
IPR006094	Oxidoreductase
IPR006095	Oxidoreductase
IPR014362	Oxidoreductase
IPR016211	Oxidoreductase
IPR006096	Oxidoreductase
IPR033922	Oxidoreductase
IPR006097	Oxidoreductase
IPR006101	Hydrolase
IPR023933	Hydrolase
IPR006102	Hydrolase
IPR006103	Hydrolase
IPR006104	Hydrolase
IPR006105	Cleavage / Inhibitor
IPR006106	Cleavage / Inhibitor
IPR016309	Cleavage / Inhibitor
IPR002411	Cleavage / Inhibitor
IPR006108	Oxidoreductase
IPR006110	Binding
IPR006111	Binding
IPR003716	Binding
IPR028363	Binding
IPR006116	Binding
IPR006116	Transferase
IPR006117	Binding
IPR006117	Transferase
IPR006119	Binding
IPR006120	Binding
IPR006121	Binding
IPR006122	Binding
IPR006124	Binding
IPR006127	Binding
IPR006128	Binding
IPR006129	Binding
IPR022434	Binding
IPR006134	Binding
IPR006137	Binding
IPR006139	Oxidoreductase
IPR006145	Binding
IPR006146	Binding
IPR006158	Binding
IPR006159	Binding
IPR006164	Binding
IPR006165	Binding
IPR006166	Binding
IPR020819	Binding
IPR006172	Binding
IPR029702	Binding
IPR029703	Binding
IPR014382	Binding
IPR014416	Binding
IPR030559	Binding
IPR006176	Oxidoreductase
IPR006179	Hydrolase
IPR006294	Hydrolase
IPR006420	Hydrolase
IPR011240	Hydrolase
IPR014485	Hydrolase
IPR014579	Hydrolase
IPR030998	Hydrolase
IPR006180	Oxidoreductase
IPR006194	Binding
IPR015944	Binding
IPR006196	Binding
IPR006197	Binding
IPR006200	Cleavage
IPR006199	Cleavage
IPR006206	Kinase
IPR000705	Kinase
IPR022963	Kinase
IPR006205	Kinase
IPR022937	Kinase
IPR012369	Kinase
IPR006207	Factor
IPR006211	Oligomerisation
IPR006212	Unclear
IPR006224	Binding
IPR006225	Binding
IPR006243	Binding
IPR006262	Binding
IPR006263	Binding
IPR020797	Binding
IPR006276	Binding
IPR006289	Binding
IPR006291	Binding
IPR006308	Binding
IPR006309	Binding
IPR006345	Binding
IPR006349	Hydrolase / Phospho
IPR006358	Binding
IPR006359	Binding
IPR006360	Transferase
IPR006376	Binding
IPR006383	Hydrolase / Phospho
IPR006384	Hydrolase / Phospho
IPR016965	Hydrolase / Phospho
IPR017718	Hydrolase / Phospho
IPR006385	Hydrolase / Phospho
IPR006386	Hydrolase / Phospho
IPR006401	Oxidoreductase
IPR006409	Binding
IPR006417	Binding
IPR006439	Hydrolase
IPR011950	Hydrolase
IPR011951	Hydrolase
IPR006346	Hydrolase
IPR006351	Hydrolase
IPR011949	Hydrolase
IPR023733	Hydrolase
IPR023943	Hydrolase
IPR027511	Hydrolase
IPR006440	Kinase
IPR006501	Cleavage / Inhibitor
IPR006509	Binding
IPR006515	Binding
IPR006529	Binding
IPR006536	Binding
IPR033110	Binding
IPR006543	Hydrolase / Phospho
IPR005954	Hydrolase / Phospho
IPR006552	Binding
IPR006555	Binding
IPR006560	Transferase
IPR006564	Binding
IPR006572	Binding
IPR006575	Binding / Protein
IPR006576	Binding / Protein
IPR006581	Binding / Protein
IPR006591	Binding
IPR023464	Binding
IPR006592	Binding
IPR006594	Binding / Protein
IPR006597	Binding / Protein
IPR006612	Binding
IPR006638	Binding
IPR006638	Transferase
IPR023404	Binding
IPR023404	Transferase
IPR006642	Binding
IPR006652	Binding / Protein
IPR006655	Oxidoreductase
IPR006656	Oxidoreductase
IPR006657	Oxidoreductase
IPR006658	Oxidoreductase
IPR011887	Oxidoreductase
IPR006680	Hydrolase
IPR006684	Hydrolase
IPR014166	Hydrolase
IPR006691	Binding
IPR006694	Oxidoreductase
IPR006700	Transferase
IPR006710	Hydrolase
IPR016828	Hydrolase
IPR016840	Hydrolase
IPR006737	Factor
IPR006738	Factor
IPR006748	Kinase
IPR006775	Hydrolase
IPR006779	Binding
IPR006782	Factor
IPR006794	Binding
IPR006796	Binding / Protein
IPR006799	Factor
IPR006801	Binding / Lipid
IPR006815	Binding
IPR006828	Binding / Protein
IPR006854	Binding
IPR006890	Oxidoreductase
IPR006895	Binding
IPR006910	Binding / Protein
IPR006935	Binding
IPR006935	Hydrolase
IPR006963	Oxidoreductase
IPR007010	Binding
IPR007015	Binding
IPR007024	Binding
IPR007025	Binding
IPR007046	Binding
IPR007066	Binding
IPR007069	Binding
IPR007070	Transferase
IPR007071	Binding
IPR007072	Transferase
IPR007073	Binding
IPR007075	Binding
IPR007080	Binding
IPR007081	Binding
IPR007083	Binding
IPR007087	Binding
IPR031514	Binding
IPR007097	Binding
IPR007110	Binding / Protein
IPR013106	IG
IPR032052	Binding / Protein
IPR032699	Binding / Protein
IPR007120	Binding
IPR007121	Binding
IPR007122	Binding
IPR030004	Binding
IPR030007	Binding
IPR030012	Binding
IPR015628	Binding
IPR030009	Binding
IPR015626	Binding
IPR029917	Binding
IPR029919	Binding
IPR030010	Binding
IPR030014	Binding
IPR007123	Binding
IPR007125	Binding
IPR007127	Binding
IPR007130	Transferase
IPR007131	Binding / Protein
IPR007145	Binding
IPR032921	Binding
IPR007159	Binding
IPR020603	Binding
IPR007167	Binding
IPR007185	Binding
IPR007197	Binding
IPR007197	Transferase
IPR007199	Binding
IPR007202	Binding
IPR007213	Transferase
IPR011610	Transferase
IPR016651	Transferase
IPR016874	Transferase
IPR007219	Binding
IPR007275	Binding
IPR007324	Binding / Sugar
IPR007329	Binding
IPR007348	Binding
IPR007364	Transferase
IPR007365	Oligomerisation
IPR007406	Binding
IPR007409	Binding
IPR007459	Binding
IPR007477	Binding / Protein
IPR007484	Cleavage
IPR007492	Binding
IPR007521	Kinase
IPR007526	Binding / Protein
IPR007527	Binding
IPR007533	Binding
IPR007560	Binding
IPR007597	Hydrolase
IPR007602	Binding
IPR007605	Cleavage / Inhibitor
IPR007610	Binding
IPR007624	Binding
IPR007627	Binding
IPR007630	Binding
IPR007631	Binding
IPR007636	Binding
IPR007637	Binding
IPR007638	Binding
IPR007639	Binding
IPR007641	Binding
IPR007642	Binding
IPR007644	Binding
IPR007645	Binding
IPR007646	Binding
IPR007654	Binding
IPR007666	Kinase
IPR015990	Kinase
IPR011790	Kinase
IPR031299	Kinase
IPR007668	Binding
IPR007692	Binding
IPR007719	Binding
IPR007722	Binding
IPR007722	Hydrolase
IPR007728	Binding
IPR007728	Transferase
IPR007745	Binding
IPR007757	Transferase
IPR025848	Transferase
IPR007779	Binding
IPR007785	Binding
IPR007809	Binding / Protein
IPR007811	Binding
IPR007823	Transferase
IPR007848	Transferase
IPR007853	Binding
IPR007856	Multiple / Cleaved
IPR007857	Transferase
IPR007859	Binding
IPR007869	Binding
IPR007871	Transferase
IPR007882	Binding
IPR007889	Binding
IPR007925	Binding
IPR007933	Binding
IPR007934	Binding / Sugar
IPR007937	Binding
IPR007939	Binding
IPR007944	Binding
IPR007984	Binding
IPR008001	Factor
IPR008006	Cleavage
IPR008006	Binding
IPR008013	Binding
IPR008031	Transferase
IPR008037	Cleavage / Inhibitor
IPR008045	Binding
IPR008046	Binding
IPR008047	Binding
IPR008049	Binding
IPR008050	Binding
IPR008065	Binding / Ligand
IPR008080	Binding
IPR008086	Cleavage / Inhibitor
IPR008087	Binding
IPR008097	Factor
IPR008104	Isomerase / unfolded protein
IPR008105	Factor
IPR008108	Hydrolase / Phospho
IPR008111	Binding
IPR008138	Multiple / Cleaved
IPR008139	Multiple / Cleaved
IPR008142	Oxidoreductase
IPR008143	Oxidoreductase
IPR008154	Binding
IPR008160	Structural
IPR008174	Factor
IPR008175	Factor
IPR008180	Hydrolase
IPR008181	Hydrolase
IPR011962	Hydrolase
IPR023537	Hydrolase
IPR008189	Transferase
IPR008193	Binding
IPR008197	Cleavage / Inhibitor
IPR008211	Oligomerisation
IPR008225	Binding
IPR023659	Binding
IPR023661	Binding
IPR008229	Binding
IPR008250	Binding
IPR008254	Binding
IPR026816	Binding
IPR008255	Oxidoreductase
IPR008259	Oxidoreductase
IPR008263	Hydrolase
IPR008264	Hydrolase
IPR008266	Kinase
IPR008268	Cleavage
IPR008269	Cleavage
IPR008271	Kinase
IPR008272	Hydrolase
IPR008274	Oxidoreductase
IPR008288	Binding
IPR008294	Cleavage
IPR008294	Binding
IPR008300	Transferase
IPR008334	Hydrolase
IPR008335	Oxidoreductase
IPR012137	Oxidoreductase
IPR030835	Oxidoreductase
IPR008336	Binding
IPR013030	Binding
IPR008353	Cleavage
IPR008356	Hydrolase / Phospho
IPR016334	Hydrolase / Phospho
IPR008357	Cleavage
IPR008367	Binding
IPR008379	Binding
IPR008393	Binding
IPR008403	Binding / Lipid
IPR008404	Cleavage / Inhibitor
IPR008405	Binding / Lipid
IPR008415	Binding
IPR008425	Hydrolase / Phospho
IPR008434	Binding
IPR008448	Binding
IPR008463	Binding
IPR008567	Transferase
IPR008576	Transferase
IPR008593	Binding
IPR008594	Hydrolase
IPR008595	Kinase
IPR008632	Binding / Lipid
IPR008705	Binding
IPR008721	Binding
IPR016811	Binding
IPR020529	Binding
IPR008723	Binding
IPR008744	Binding
IPR008750	Cleavage
IPR008753	Cleavage
IPR008760	Cleavage
IPR008790	Kinase
IPR008797	Binding
IPR008806	Binding
IPR008807	Binding
IPR008823	Binding
IPR008829	Transferase
IPR013375	Transferase
IPR019872	Transferase
IPR008851	Binding
IPR008858	Binding
IPR008859	Binding
IPR008865	Binding
IPR008876	Binding
IPR008888	Binding
IPR008899	Binding
IPR008906	Stabilisation / Oligomerisation
IPR008913	Binding
IPR008915	Cleavage
IPR008916	Other
IPR008917	Binding
IPR008918	Binding
IPR008921	Binding
IPR015199	Binding
IPR013748	Binding
IPR021886	Binding
IPR022754	Binding
IPR032780	Binding
IPR008930	Transferase
IPR001906	Transferase
IPR011626	Transferase
IPR008939	Hydrolase
IPR008952	REMOVE
IPR028977	REMOVE
IPR008953	Binding
IPR008954	Binding
IPR008958	Transferase
IPR008963	Binding
IPR015914	Binding
IPR008965	Binding / Sugar
IPR012291	Hydrolase
IPR001956	Binding / Sugar
IPR004866	Binding / Sugar
IPR011539	Binding
IPR024061	Binding
IPR012346	Binding
IPR015351	Binding
IPR013524	Binding
IPR013801	Binding
IPR008969	Binding
IPR008969	Cleavage
IPR008972	Cupredoxin
IPR013732	Binding
IPR017533	Cupredoxin
IPR028096	Cupredoxin
IPR008974	Binding / Protein
IPR018121	Binding / Protein
IPR008977	Amidation
IPR008979	Binding / Sugar
IPR001090	Binding / Sugar
IPR002706	Binding / Sugar
IPR003305	Binding / Sugar
IPR005086	Binding / Sugar
IPR005087	Binding / Sugar
IPR005088	Binding / Sugar
IPR005638	Binding / Sugar
IPR006588	Binding / Sugar
IPR010400	Binding / Sugar
IPR010565	Binding / Sugar
IPR013222	Binding / Sugar
IPR013736	Binding / Sugar
IPR015176	Binding / Sugar
IPR015295	Binding / Sugar
IPR015908	Binding / Sugar
IPR025300	Binding / Sugar
IPR029411	Binding / Sugar
IPR032164	Binding / Sugar
IPR008983	Binding / Protein
IPR006052	Binding / Protein
IPR008984	Binding / Protein
IPR017855	Binding / Protein
IPR001132	Binding / Protein
IPR008989	Binding
IPR008993	Binding
IPR009003	Cleavage
IPR000199	Cleavage
IPR000317	Cleavage
IPR001665	Cleavage
IPR004109	Cleavage
IPR024387	Cleavage
IPR009011	Binding / Man6p
IPR012913	Binding / Man6p
IPR009017	Binding / Protein
IPR006605	Binding / Protein
IPR023413	Binding / Protein
IPR009019	Binding
IPR009020	Cleavage / Activation
IPR003146	Cleavage / Activation
IPR010259	Cleavage / Activation
IPR015366	Cleavage / Activation
IPR032815	Cleavage / Activation
IPR009025	Stabilisation / Oligomerisation
IPR011263	Stabilisation / Oligomerisation
IPR009029	Oxidoreductase
IPR009030	Unclear
IPR011641	Unclear
IPR032778	Unclear
IPR009033	Binding
IPR009033	Binding / Protein
IPR009038	Binding / Protein
IPR009042	Binding
IPR009044	Binding
IPR009048	Binding / Ligand
IPR009051	Binding
IPR009052	Binding
IPR009057	Binding
IPR015195	Binding
IPR030828	Binding
IPR023082	Binding
IPR001005	Binding
IPR017877	Binding
IPR017884	Binding
IPR017930	Binding
IPR006447	Binding
IPR032563	Binding
IPR002622	Binding
IPR006455	Binding
IPR006600	Binding
IPR014875	Binding
IPR015010	Binding
IPR024978	Binding
IPR025246	Binding
IPR009060	Binding / Protein
IPR015940	Binding / Protein
IPR005637	Binding / Protein
IPR015228	Binding / Protein
IPR015368	Binding / Protein
IPR033741	Binding / Protein
IPR033864	Binding / Protein
IPR009066	Binding / Ligand
IPR009072	Stabilisation / Oligomerisation
IPR003228	Stabilisation / Oligomerisation
IPR003958	Stabilisation / Oligomerisation
IPR004823	Stabilisation / Oligomerisation
IPR009079	Factor / Cytokine
IPR012351	Factor / Cytokine
IPR009080	Binding
IPR013155	Binding
IPR015273	Binding
IPR008909	Binding
IPR033705	Binding
IPR033708	Binding
IPR033709	Binding
IPR009084	Binding
IPR009087	Binding
IPR009089	Binding
IPR009095	Binding / Protein
IPR009105	Binding
IPR009109	Cleavage / Inhibitor
IPR009122	Binding
IPR009123	Binding
IPR009145	Binding
IPR009157	Binding
IPR009162	Binding
IPR009168	Binding / Protein
IPR012210	Binding / Protein
IPR012211	Binding / Protein
IPR012213	Binding / Protein
IPR022321	Binding / Protein
IPR022322	Binding / Protein
IPR022326	Binding / Protein
IPR022327	Binding / Protein
IPR009170	Binding
IPR009179	Binding
IPR009220	Cleavage
IPR009220	Binding
IPR009234	Binding
IPR009254	Binding / Ligand
IPR009283	Binding
IPR009287	Binding
IPR009349	Binding
IPR009396	Factor
IPR009438	Factor
IPR009447	Transferase
IPR009454	Unknown
IPR009466	Transferase
IPR009469	Binding
IPR009496	Unknown
IPR009508	Binding
IPR009522	Binding
IPR015971	Binding
IPR009528	Binding
IPR009581	Kinase
IPR009590	Binding / Protein
IPR009608	Factor
IPR009668	Binding
IPR009714	Factor
IPR009767	Binding
IPR009768	Binding
IPR009810	Binding
IPR009829	Binding
IPR009861	Binding / Ligand
IPR009868	Binding
IPR009970	Binding
IPR010009	Binding / Lipid
IPR010036	Hydrolase / Phospho
IPR024734	Hydrolase / Phospho
IPR010078	Binding
IPR010086	Binding
IPR010087	Binding
IPR010089	Binding
IPR010093	Binding
IPR010108	Oxidoreductase
IPR010114	Binding
IPR010125	Transferase
IPR010126	Hydrolase
IPR010143	Binding
IPR005972	Binding
IPR010147	Binding
IPR010193	Kinase
IPR010194	Kinase
IPR010204	Binding
IPR010206	Binding
IPR010207	Binding
IPR016463	Binding
IPR010211	Binding
IPR010213	Binding
IPR010228	Binding
IPR010238	Binding
IPR010243	Binding
IPR010248	Binding
IPR010270	Binding
IPR010286	Transferase
IPR017182	Transferase
IPR016909	Transferase
IPR010294	Cleavage
IPR010294	Unknown
IPR010304	Binding
IPR010307	Adhesion
IPR010312	Binding
IPR010336	Binding
IPR010354	Binding
IPR010363	Unknown
IPR010372	Binding
IPR010394	Binding
IPR010402	Binding / Protein
IPR010426	Transferase
IPR012740	Transferase
IPR010431	Binding
IPR030143	Binding
IPR024703	Binding
IPR030144	Binding
IPR030146	Binding
IPR010435	Cleavage
IPR010440	Kinase
IPR017172	Kinase
IPR022826	Kinase
IPR027023	Kinase
IPR010442	Binding
IPR033723	Binding
IPR033724	Binding
IPR010452	Hydrolase / Phospho
IPR010457	IG
IPR010472	Binding
IPR010473	Binding
IPR010475	Factor
IPR010483	Binding
IPR010488	Kinase
