interpro	Class
IPR000691	Cleavage / Inhibitor
IPR000692	Binding
IPR000692	Transferase
IPR000710	Cleavage
IPR000714	Binding
IPR000716	Cleavage / Inhibitor
IPR000717	Binding / Protein
IPR000718	Cleavage
IPR029727	Cleavage
IPR029733	Cleavage
IPR029734	Cleavage
IPR029735	Cleavage
IPR029737	Cleavage
IPR029736	Cleavage
IPR029738	Cleavage
IPR030082	Cleavage
IPR031122	Cleavage
IPR000719	Kinase
IPR001245	Kinase
IPR020635	Kinase
IPR027916	Kinase
IPR033702	Kinase
IPR000722	Binding
IPR000727	Binding / Protein
IPR000730	Binding
IPR000737	Cleavage / Inhibitor
IPR000742	Binding / Protein
IPR000747	Binding
IPR000748	Binding
IPR000751	Hydrolase / Phospho
IPR000755	Cleavage
IPR000757	Hydrolase
IPR000762	Factor
IPR000770	Binding
IPR000771	Binding
IPR011288	Binding
IPR023788	Binding
IPR006411	Binding
IPR000772	Binding / Sugar
IPR000773	Factor
IPR000778	Oxidoreductase
IPR029650	Oxidoreductase
IPR029653	Oxidoreductase
IPR029654	Oxidoreductase
IPR000779	Factor
IPR000782	Adhesion
IPR000783	Binding
IPR000798	Binding / Protein
IPR011174	Binding / Protein
IPR015788	Binding / Protein
IPR030691	Binding / Protein
IPR030694	Binding / Protein
IPR030698	Binding / Protein
IPR000799	Binding / Lipid
IPR029866	Binding / Lipid
IPR029868	Binding / Lipid
IPR000800	Structural / Protein lid 
IPR000812	Binding
IPR023484	Binding
IPR029529	Binding
IPR000814	Binding
IPR033710	Binding
IPR033711	Binding
IPR015445	Binding
IPR000824	Binding
IPR000827	Factor
IPR000834	Cleavage
IPR000834	Binding
IPR033842	Cleavage
IPR033843	Cleavage
IPR033849	Cleavage
IPR033850	Cleavage
IPR033852	Cleavage
IPR033810	Cleavage
IPR033848	Cleavage
IPR033810	Binding
IPR033848	Binding
IPR000837	Binding
IPR029813	Binding
IPR029814	Binding
IPR029816	Binding
IPR029819	Binding
IPR029820	Binding
IPR000838	Binding
IPR000840	Retroviral
IPR000841	Cleavage
IPR000843	Binding
IPR000859	Oligomerisation, Binding / Protein
IPR000864	Cleavage / Inhibitor
IPR000866	Oxidoreductase
IPR000867	Binding / Protein
IPR000869	Binding
IPR000872	Transferase
IPR000877	Cleavage / Inhibitor
IPR022713	Cleavage / Inhibitor
IPR000878	Transferase
IPR006363	Transferase
IPR006366	Transferase
IPR006362	Transferase
IPR006364	Transferase
IPR012818	Transferase
IPR000884	Unknown
IPR000885	Unknown
IPR000890	Kinase
IPR004372	Kinase
IPR024896	Kinase
IPR024917	Kinase
IPR011245	Kinase
IPR000907	Binding
IPR001246	Oxidoreductase
IPR001885	Binding
IPR000922	Binding / Sugar
IPR000923	Binding
IPR017533	Binding
IPR000924	Binding
IPR004514	Binding
IPR004526	Binding
IPR004527	Binding
IPR022380	Binding
IPR022861	Binding
IPR022888	Binding
IPR000930	Cleavage
IPR000940	Transferase
IPR000943	Binding
IPR012760	Binding
IPR000951	Oxidoreductase
IPR000959	Binding / Protein
IPR033695	Binding / Protein
IPR033696	Binding / Protein
IPR033701	Binding / Protein
IPR000961	Kinase
IPR017892	Kinase
IPR000962	Binding
IPR020460	Binding
IPR000966	Binding
IPR000967	Binding
IPR000969	Binding
IPR000980	Binding / Phosphoprotein
IPR014742	Binding / Phosphoprotein
IPR000989	Binding
IPR000998	Binding / Protein
IPR001000	Hydrolase
IPR001001	Binding
IPR001007	Binding / Protein
IPR001008	Binding
IPR001009	Binding
IPR001012	Binding / Protein
IPR001018	Binding
IPR001022	Binding
IPR001024	Binding / Protein
IPR001033	Binding
IPR030044	Binding
IPR030047	Binding
IPR030045	Binding
IPR030046	Binding
IPR001037	Binding
IPR001039	Binding / Peptide
IPR001040	Binding
IPR001041	Binding
IPR025192	Binding
